# packages in environment at /Users/robertarbon/opt/miniconda3/envs/mdtraj:
#
# Name                    Version                   Build  Channel
appnope                   0.1.0           py38h50d1736_1002    conda-forge
argon2-cffi               20.1.0           py38h7e3306e_2    conda-forge
astor                     0.8.1              pyh9f0ad1d_0    conda-forge
async_generator           1.10                       py_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
bhmm                      0.6.3           py38hf3d72b9_1004    conda-forge
biopython                 1.78             py38h4d0b108_1    conda-forge
bleach                    3.2.1              pyh9f0ad1d_0    conda-forge
blosc                     1.20.1               hb1e8313_0    conda-forge
brotlipy                  0.7.0           py38h94c058a_1001    conda-forge
bzip2                     1.0.8                haf1e3a3_3    conda-forge
c-ares                    1.17.1               hc929b4f_0    conda-forge
ca-certificates           2020.11.8            h033912b_0    conda-forge
cached-property           1.5.1                      py_0    conda-forge
certifi                   2020.11.8        py38h50d1736_0    conda-forge
cffi                      1.14.3           py38h9edaa1b_1    conda-forge
cftime                    1.3.0            py38hfb243c8_0    conda-forge
chardet                   3.0.4           py38h5347e94_1008    conda-forge
cryptography              3.2.1            py38h5c1d3f9_0    conda-forge
curl                      7.71.1               hcb81553_8    conda-forge
cycler                    0.10.0                     py_2    conda-forge
decorator                 4.4.2                      py_0    conda-forge
defusedxml                0.6.0                      py_0    conda-forge
dill                      0.3.3              pyhd8ed1ab_0    conda-forge
entrypoints               0.3             pyhd8ed1ab_1003    conda-forge
freetype                  2.10.4               h3f75d11_0    conda-forge
griddataformats           0.5.0                      py_0    conda-forge
gsd                       2.4.0            py38hf3d72b9_0    conda-forge
h5py                      3.1.0           nompi_py38hebff1a9_100    conda-forge
hdf4                      4.2.13            h84186c3_1003    conda-forge
hdf5                      1.10.6          nompi_h2ccf146_1110    conda-forge
idna                      2.10               pyh9f0ad1d_0    conda-forge
importlib-metadata        2.0.0                      py_1    conda-forge
importlib_metadata        2.0.0                         1    conda-forge
intel-openmp              2020.2                      258  
